Time,HUM
   0.053180000,  56.747406006
   0.133530052,  56.710922241
   0.213880104,  56.732810974
   0.294230156,  56.723083496
   0.374580208,  56.706054688
   0.454930260,  56.696327209
   0.535280312,  56.779029846
   0.615630364,  56.679298401
   0.695980416,  56.676864624
   0.776330468,  56.740108490
   0.856680520,  56.820381165
   0.937030572,  56.698757172
   1.017380624,  56.701190948
   1.097730676,  56.710922241
   1.178080728,  56.703624725
   1.258430780,  56.781463623
   1.338780832,  56.696327209
   1.419130884,  56.781463623
   1.499480936,  56.715785980
   1.579830988,  56.749839783
   1.660181040,  56.718219757
   1.740531092,  56.825244904
   1.820881144,  56.798488617
   1.901231196,  56.727947235
   1.981581248,  56.805786133
   2.061931300,  56.749839783
   2.142281352,  56.771732330
   2.222631404,  56.825244904
   2.302981456,  56.754703522
   2.383331508,  56.817947388
   2.463681560,  56.873897552
   2.544031612,  56.815517426
   2.624381664,  56.791191101
   2.704731716,  56.698757172
   2.785081768,  56.718219757
   2.865431820,  56.793624878
   2.945781872,  56.754703522
   3.026131924,  56.786327362
   3.106481976,  56.827678680
   3.186832028,  56.771732330
   3.267182080,  56.837409973
   3.347532132,  56.669567108
   3.427882184,  56.701190948
   3.508232236,  56.737678528
   3.588582288,  56.764434814
   3.668932340,  56.730381012
   3.749282392,  56.589298248
   3.829632444,  56.594161987
   3.909982496,  56.713352203
   3.990332548,  56.701190948
   4.070682600,  56.720649719
   4.151046244,  56.803352356
   4.231409889,  56.817947388
   4.311773533,  56.740108490
   4.392137178,  56.679298401
   4.472500822,  56.822814941
   4.552864467,  56.869029999
   4.633228111,  56.786327362
   4.713591756,  56.815517426
   4.793955400,  56.878761292
   4.874319045,  56.667137146
   4.954682689,  56.832542419
   5.035046334,  56.737678528
   5.115409978,  56.727947235
   5.195773623,  56.803352356
   5.276137267,  56.762001038
   5.356500912,  56.691459656
   5.436864556,  56.744976044
   5.517228201,  56.766868591
   5.597591846,  56.732810974
   5.677955490,  56.737678528
   5.758319134,  56.696327209
   5.838682779,  56.827678680
   5.919046423,  56.859302521
   5.999410068,  56.791191101
   6.079773712,  56.793624878
   6.160137357,  56.689029694
   6.240501002,  56.766868591
   6.320864646,  56.742542267
   6.401228290,  56.727947235
   6.481591935,  56.747406006
   6.561955579,  56.749839783
   6.642319224,  56.735244751
   6.722682868,  56.689029694
   6.803046513,  56.735244751
   6.883410158,  56.749839783
   6.963773802,  56.723083496
   7.044137447,  56.754703522
   7.124501091,  56.744976044
   7.204864736,  56.762001038
   7.285228380,  56.791191101
   7.365592024,  56.834976196
   7.445955669,  56.713352203
   7.526319314,  56.830112457
   7.606682958,  56.805786133
   7.687046603,  56.764434814
   7.767410247,  56.813083649
   7.847773892,  56.771732330
   7.928137536,  56.859302521
   8.008501180,  56.810649872
   8.088864825,  56.915248871
   8.169212662,  56.871463776
   8.249560499,  56.820381165
   8.329908336,  56.742542267
   8.410256172,  56.927410126
   8.490604009,  56.898220062
   8.570951846,  56.834976196
   8.651299683,  56.886058807
   8.731647520,  56.776596069
   8.811995357,  56.983356476
   8.892343193,  56.876327515
   8.972691030,  56.900653839
   9.053038867,  57.012546539
   9.133386704,  56.954166412
   9.213734541,  56.907951355
   9.294082378,  56.951736450
   9.374430214,  56.980922699
